57,1377,2,1,0,0,1,2965000000,52017000,https://divar.ir/v/AZvJxlnF
61,1385,1,1,0,1,1,5200000000,85245000,https://divar.ir/v/AZvFxhUV
147,1402,3,3,1,1,1,18400000000,125170000,https://divar.ir/v/AZvBx_EU
98,1401,2,5,1,1,1,10880000000,111020000,https://divar.ir/v/AZWpwQGX
95,1398,2,4,1,1,0,9000000000,94736000,https://divar.ir/v/AZfBlI8X
92,1402,2,6,1,1,1,8800000000,95652000,https://divar.ir/v/AZgR7RNd
89,1400,2,1,1,1,1,7450000000,83707000,https://divar.ir/v/AZfNEmbw
63,1379,1,2,0,1,1,5600000000,88888000,https://divar.ir/v/AZv1QT2c
90,1400,2,1,1,1,1,9500000000,105555000,https://divar.ir/v/AZvxQ0MV
57,1396,1,1,1,1,0,5300000000,92982000,https://divar.ir/v/AZvtQ15i
93,1402,2,1,1,1,1,8800000000,94623000,https://divar.ir/v/AZvtQ6fM
69,1382,2,1,1,0,1,4800000000,69565000,https://divar.ir/v/AZb9XDdQ
84,1380,2,2,0,1,1,6700000000,79761000,https://divar.ir/v/AZvhQ0Ua
120,1396,2,3,1,1,1,11400000000,95000000,https://divar.ir/v/AZop3F5e
70,1386,2,2,1,1,1,6200000000,88571000,https://divar.ir/v/AZcNQrcM
60,1381,1,1,1,1,1,5100000000,85000000,https://divar.ir/v/AZbNUttx
183,1387,3,1,0,1,1,14500000000,79234000,https://divar.ir/v/AZQp77AB
45,1399,1,4,1,1,0,4200000000,93333000,https://divar.ir/v/AZqVyJZz
142,1387,3,1,1,1,1,17040000000,120000000,https://divar.ir/v/AZrRBl95
65,1375,1,2,0,0,0,4875000000,75000000,https://divar.ir/v/AZrFz3vo
124,1401,2,2,1,1,1,11000000000,88709000,https://divar.ir/v/AZux_5DT
52,1397,1,4,1,1,1,5700000000,109615000,https://divar.ir/v/AZuxvS9L
70,1397,1,4,1,1,0,6000000000,85714000,https://divar.ir/v/AZoJWC98
27,1375,0,1,0,0,0,2200000000,81481000,https://divar.ir/v/AZYRJMvJ
118,1401,2,7,1,1,1,15340000000,130000000,https://divar.ir/v/AZg9u3Nq
98,1390,2,3,1,0,1,7700000000,78571000,https://divar.ir/v/AZutu-K1
149,1401,3,4,1,1,0,14676500000,98500000,https://divar.ir/v/AZq9jVAX
126,1400,3,4,1,1,1,12700000000,100793000,https://divar.ir/v/AZn59aMl
108,1383,2,4,0,1,1,6200000000,57407000,https://divar.ir/v/AZkhbFnS
48,1385,1,3,1,1,1,3390000000,70625000,https://divar.ir/v/AZu1m4qi
72,1386,2,2,1,1,1,6300000000,87500000,https://divar.ir/v/AZud21Gf
73,1380,1,3,0,0,1,4680000000,64109000,https://divar.ir/v/AZuZW7rj
60,1381,1,4,1,0,1,4620000000,77000000,https://divar.ir/v/AZuNVJOs
68,1395,2,2,1,1,1,7450000000,109558000,https://divar.ir/v/AZu5kCxk
74,1386,1,3,1,0,1,4950000000,66891000,https://divar.ir/v/AZklu5EE
102,1384,1,3,1,0,1,6200000000,60784000,https://divar.ir/v/AZud0gQr
92,1385,2,1,1,0,1,6440000000,70000000,https://divar.ir/v/AZuNEb2Q
80,1385,2,1,1,1,1,6800000000,85000000,https://divar.ir/v/AZuNE5-2
149,1402,3,1,1,1,1,18000000000,120805000,https://divar.ir/v/AZuNESdY
55,1382,1,2,0,1,0,4200000000,76363000,https://divar.ir/v/AZuB0Tej
60,1384,1,2,1,1,1,4700000000,78333000,https://divar.ir/v/AZuhTkO_
83,1385,2,1,1,1,1,7000000000,84337000,https://divar.ir/v/AZudDwRH
117,1401,3,1,1,1,1,7600000000,64957000,https://divar.ir/v/AZbd523Q
109,1395,2,4,1,1,1,9950000000,91284000,https://divar.ir/v/AZuBzNQK
75,1382,2,2,0,0,1,5300000000,70666000,https://divar.ir/v/AZu5Sq1-
172,1396,3,3,1,1,1,18950000000,110174000,https://divar.ir/v/AZulS-R1
